text,topic
i get aggravated because we are running late for school and she wants to change her pants because they feel funny or when she begs me for weeks to take her to chuck e,school
i didnt sleep as much as id hoped and im feeling kinda grumpy and annoyed,sleep
i feel like a mad douche because i lived the wrong way at that school out of fear of losing my individuality,school
i feel like i dont believe in love anymore and im not talking about romantic love i dont think i want any such thing anyway,love
i cant i feel so blessed and happy to have such awesome and sweet friends all around the world whore,friends
i find god s presence if i feel scared lonely sad but i feel his presence most when im happy because it is like i m rewarded by god and i feel really thankful,god
ive always wondered what it would be feel like to get hit by one of the exiting cars on a day that you feel frantic upset due to family problems,family
i work this weekend and i m heading into it feeling a little bit defeated,work
i worked very hard for and i feel passionate about the cause that i work for,work
i was walking home after work and i was feeling extremely joyful i had a kick out of the accomplishments at work this week the deliverables that i finished on time and with good quality,work
i was busting my ass to break so to run a now and still feel energetic,exercise
i am feeling a little brave and try to make a bread for the first time,food
i know when you think of the name buck you think of a biker who has urine on his pants or your fishing buddy who doesn t say to much but that s because he is secretly smarter than you and he doesn t want you to feel like a moron by saying something intelligent,friends
i met over years ago at a national writing convention when neither of us could figure out how to assemble our nametags and i always feel that befriending her there was the most valuable thing i garnered from that conference,friends
im just feeling sentimental but im so grateful for the gift of family that ive been given even if this side of the family was a late in life gift,family
i was feeling pretty groggy and went off to sleep easily and had a good night waking up with much less pain,sleep
i feel like it will remain strong because of the quality of the food it is serving,food
i wandered the store feeling irritable and staring for long spells of time at the dizzying options of food before me,food
ive been going to school stuck in my tiny space facing my table pilled with books feeling isolated,school
i love the way it feels i love its permanence i love the nostalgic feeling of keys under my fingertips,love
i was feeling adventurous so i made some kale chips inspired by a href http www,food
i think im scared of feeling shy when they ask me about it x hai yai yai xd nvm i shall take a nap since the weather looks pretty good,sleep
i love the emotion that comes with music and how it can make us feel i am so thankful for the gift of music,love
i really feel as though i need to establish an acceptable life for myself before i can consider myself mentally prepared enough for any kind of schooling,school
i can cope with his presence without feeling distressed if i can force myself into a quiet and resigned friendship,friends
i am petrified of when he starts university because i have a strong feeling hes going to meet someone who is gorgeous smart caring,school
i wanted to go get checked out but im feeling like this is just a terrible terrible cold not even influenza ish and getting better by the day,health
i was feeling so homesick and honestly i was a little confused as to why god even brought me here,god
i call a friend and hear news that makes me ecstatically happy sitting up straight in my chair i feel myself grow a little weepy,friends
i am feeling very lonely as i have no friends left now and pray help comes for holly soon,friends
i am learning daily is to take responsibility for my own hurts wounds and healing although it feels unpleasant it gets the job of moving from trauma to wholeness done,work
i became sick of feeling rotten after eating and now i enjoy food and how it makes me feel afterwards,food
i dunnno i just feel sorta discontent but im tired and stuff i just wanna go to bed,sleep
i am especially in tears when i read messages sent from abroad hellip especially when i think how cassiopeia members are feeling ishihara pd nov ishihara pd is so considerate about our international friends,friends
i was doomed because there werent that many asians and girls werent really feeling me but i was also doomed because if we get down to the food the food was different for me too,food
i don t feel god s gentle hands pushing me one way i don t feel that warm gentle breeze of the holy spirit tickling the hairs on the back of my neck enveloping me and carrying me to the right path,god
i feel disappointed because i feel rejected and feel a sense of failure for not being able to keep that friendship alive,friends
i feel like my kids are going to look at this and realize how completely horrible my grammar is and just decide to drop out of school,school
i mentioned that i have been feeling a little stressed about today it really could have gone either way but god just totally blew me away,god
i feel so eager to prove to my friend that im not like that,friends
sometime ago i felt very angry when my mother wrote me telling me that my elder sister was messing up things at home by her internalised aggressive attitude towards parents and her husband,family
i feel shaky when i eat fruit please help if you can,food
when my grandmother died having to see my mother weep,family
i am having a hard time not snuggling in next to her but if i sleep past a certain time i feel groggy for the rest of the day,sleep
i feel we will be jolly good friends in a few months time,friends
i saw my friends getting paid relatively handsomely at that time of the semester i could not help from feeling jealous,friends
i love when a bad guy has me feeling unsure about his bad guy status,love
i feel something in my heart its like a little flame everytime i see you this flame lights up this flame is special for you because i love you,love
im not feeling so well right now so ill write some other day,health
i feel so troubled stressed irrresponsible am the worst friend on earth,friends
i like the fact that i am open and honest about what i think and feel when it needs to be said i am loyal and try to be a good friend i like my bizarre weirdness and how random i am,friends
i actually feel quite emotional about the whole thing despite me paying her so little this is the going rate and she is so grateful to have work i feel that we truly don t know we re born in the uk,work
im frustrated that i cant sleep at night because of the incredible hurt that i feel im completely physically and emotionally exhausted all of the time,sleep
i wasnt diagnosed with migraines until just last year but i have a feeling ive been suffering them for most of my teenage and early adult life,health
i feel like that obnoxious kid thats trys to be a friend but all they are just annoying,friends
i also feel blessed knowing that my groceries will be delivered tomorrow to my doorstep without having to lift a finger,food
i am friendly and so easy to talk to if only you are open to knowing me as a friend and not from a top down approach cos i feel intimidated and when i only know i do not want to offend somebody i shut up,friends
i was still feeling a bit shaky so it was off to bed at pm,sleep
i feel selfish because i have friends who are much older than me still single and wishing they had a husband or wife as well,friends
im still feeling guilty about his seeing my wiping down my cube so im being extra friendly,friends
i stopped feeling satisfied from eating foods like that too,food
i feel very useful to others since i have given to them my precious times just to be with them or give advice to some close friends when necessary,friends
i feel like we have all become such a funny little thrown together family and even though we all get on each others nerves sometimes we really do always watch out for each other,family
i imagine and feel love for each thing in my day going well before i do it,love
i feel so stressed out in the office that i was thinking is the salary i am getting really worth it,work
i will wake up in the morning fresh and not feeling groggy or like i need more sleep ill be able to get up and have too much energy to stay in bed,sleep
i just was not sleeping at all so i really have to but even a half a pill makes me feel groggy the next day,sleep
i really didnt quite know what to expect from this dish besides some tomatoes served with shrimp i was feeling adventurous,food
im feeling overly energetic overly eager and a little bloated from the extra carbs weve smartly worked into our diets,food
i feel that i dont give much time to my family and loved ones,family
i feel proud to say laduma ngxokolo is my friend,friends
i think we both feel burdened to serve others through prayer and specifically our friends who are poor through prayer,friends
i guess our heart always desire more and i hate to say this but i feel that i am the most disliked in the family,family
i say as i cycle off on the road feeling slightly smug,exercise
i have never shaken the feeling of ferocious protectiveness i had when i first became a mother,family
i love lesleys idea of rules but the word rules makes me feel very very rebellious,love
i feel simply radiant because i have had the chance to actually sit down and have tea in a quiet house this morning before making my way to school d,school
i was feeling adventurous ive now mastered chop sticks i think even a rice dish in hcmc was chop stick eaten before i resorted to a spoon and im believing im really asian,food
ill hoard food and than feel disgusted with myself before deciding to puke it out,food
i feel a bit intimidated by the thought of making my own donuts,food
im feeling restless and matt and i are nitpicking one another about who feeds abigail lunch the most and who gets the last few slices of leftover pie,food
i ended up falling asleep in his arms wondering if his feelings for me went beyond caring about me,sleep
i could feel that by fucking her i was giving her something more i was giving her my life force my energy my love and something more something vital something human,love
i certainly respect hard work and hard won fame but when i suspect some argument to be problematic i refuse to take in a long history of such and such dealing to be the reason i should feel convinced,work
i have the sinking feeling that this unfortunate incident would reflect upon me more than my actual work abilities,work
i know i am not disappearing forever but i think because im heading to another country without having any friends and to a country with a completely different language i am feeling extremely appreciative of the those in my life,friends
i feeling so unhappy when i know that youve fallen in love with another girl,love
i am feeling despairing thoughts i change what i think about myself into what god thinks about me,god
i have so much work waiting for me to clear yet i am wasting time away feeling useless about myself,work
i have had an uneasy feeling about things i would have liked to say to my her a second mother to me even though she was already dead,family
i had a lot of new friends who i didn t feel comfortable talking to,friends
i feel i am getting dull i get up early in the morning and walk or jog in our village,exercise
i got out of bed feeling rather delicate you see i had visited friends for the first england game of the world cup in south africa,friends
i recall feeling so empty in a place that once made me feel so full in life,recreation
i feel like i lost my old best friends why everything needs to change,friends
i have a good cry a mince pie and return home feeling festive and full of christmas cheer,food
i always feel impressed when g orders at a restaurant,food
i still eat far too little most days and feel miserable,food
i love progress i need to feel it in order to be content in life,love
i feel so insulted and embarrassed because i tried to say something that just about every high end performer who went through the public school system feels,school
i feel are dangerous to you betsy or friends who have made me very uncomfortable in the past at times i havent even told you shah and with friends who make me uncomfortable because of behaviors i perceive which when communicated to you are brushed off rather than listened to andrew,friends
i was never happy with this move but felt that i had to take it and as a result feel extremely dissatisfied with my current job,work
i cant wait to try the all purpose sauce as a fish marinade and a meatloaf sauce and french fries when im feeling naughty,food
i hated that out of control feeling around food but more than that i hated feeling gross after eating,food
i even snapped a photo to remember that feeling of loving the fact that i was in the right place at the right moment,love
i am running my second trail race and i am feeling ever so slightly nervous about it,exercise
i no longer feel sociable even on social networks i finally got off the addiction of being with friends is it good or bad i cant judge anymore,friends
i feel like i am emotionally and physically drained when i leave work and i need to tap into my overdrive for my next job which is mom,work
i was feeling pretty lousy and wiped out because of still dealing with this vertigo issue i have going on,health
one night i and my friends went to the cemetery we stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost i was already afraid and almost died,friends
i no longer feel that the work still looks dirty it still has that chunky color change which im not so fond of,work
ill eat when im feeling spiteful and defiant,food
i feel thrilled that he came to a family with three older siblings and now gets to be a big brother himself,family
i feel kind of embarrassed when i go to restaurants or cafes and ask if they have any vegan options,food
i find myself feeling betrayed completely broke and moving back in with my parents at,family
i feel the self pressured expectation to keep up to date with our family events so in order to assuage the guilt here we go,family
i havent really made many friends and feel somewhat isolated,friends
i am grateful that when i did not feel i had anyone that i had him and even now that i have such an amazing support group that he is still there and that he is reflected through each of my friends,friends
i really know is the stress of things is overwhelming and no matter how many times i say to myself gods will or gods hands i still feel overwhelmed,god
i literally feel resigned to eating crap,food
i remember wearing the dress feeling fabulous looking fabulous announcing my good news to many friends whilst wearing that dress,friends
i was feeling clever so i changed the last line to cookies for you,food
i feel horrible about leaving my mom because i know she s just as much of a victim as i am but i have to,family
i love the feeling of being in the water because im not the most graceful person on land and i feel like in the water i have this undeniable grace and i love the feeling of it,love
i feel less inhibited do you eat the stems of broccoli,food
i love you the bottom line of every way is to make your partner feel special,love
i go i feel really appreciative for all of the support i am getting from my good friends,friends
im feeling kind of lonely right now even though i just talked to jack sarah and a lot of my other friends,friends
i can necessarily run faster but i feel a very low impact when i run it could be due to my lighter weight,exercise
i was feeling rather thats a lie actually i was feeling extremely apprehensive prior to the start of the new semester,school
i do see myself perhaps consciously decreasing the amt of food i eat not feeling deprived though,food
i feel i should mention my precious toddler who was acting like her life would be over if she didnt get sleep now just woke up after only hrs of sleeping,sleep
i took the time to do my hair and makeup and i feel ugly and i hate my hair and i want to cut it off and im so sick of looking at my face,work
i feel dazed because im not used to napping and it always messes with me,sleep
i know im a good mom but today i just feel shitty,family
i feel a real connection to pope francis and desire to follow the loving example he is giving us,love
i was standing in line at the post office feeling irritated with the postal worker taking what seemed like an inordinate amount of time with the customer ahead of me,work
i honestly feel calm centred positive and liberated after attending class,school
i feel like im losing a friend for the worlds most moronic reasons,friends
i do not feel fear i do not feel sadness i only feel love love of deliveries love of always faithful love,love
i love this game too much i love too much feeling that i am in the zone i love feeling that i am faithful that i remain true to what i have in my brain as a model,love
a friend of mine often had difficulties with her parents once she had a child she had a better relationship with them,friends
i never for once declared any form of feelings for him during our almost year friendship he does not feel he had wronged me in any way,friends
i feel scared and alone i feel my mom will be so mad at me and my family will be so upset,family
i think we got back around or something like that and i feel like i slept for about mins so i am a bit stunned now but it was totally worth it its a good stunned,sleep
i love all types of music and i feel to truly be passionate about it,love
i was thrust back to work barely ready to do anything still feeling numb from the trauma of it all,work
i left school today feeling so joyful,school
i feel strongly about supporting my school and teachers,school
i am so ready to shift things and bring them back to a more family centered way of functioning and it feels so peaceful to have reached this decision,family
i love the stretch of history the feeling of continuity the connection between my beloved middle ages and the modern world,love
i feel nostalgic a lot more than i felt after passing out of the school,school
i feel so sad caged bird lovin u,love
i was feeling rather impressed with my hard work though the binders began to take up a lot of valuable real estate in my small kitchen,work
im feeling heartbroken all the thoughts and dream has gone,sleep
i love this or that its an unconscious attempt to cover up or remove the deep seated feelings that always accompany the ego the discontent the unhappiness the sense of insufficiency that is so familiar,love
i feel i have a divine mandate to go and tell the people of this world that it is possible to be strong in the lord jesus christ,god
i feel a little sorry for him because he doesnt quite belong among the aristocracy of his friends in moscow,friends
i dont know if it was that or just my stupid brain hormonal stuff whatever but i had a hard time sleeping for most of the week and was feeling brain numbed and gloomy,sleep
i feel more relaxed around food than i have done in a long time largely because i feel able to say no without feeling as if im being deprived whether or not i actually want whats being offered,food
i dont know about other people but i get the feeling of being isolated sometimes in my new school,school
i have listed these love languages in the order of which makes me feel loved the most,love
i feel shy towards my friend because im the only one who scare of thunder,friends
death of my father he died of laryngeal cancer,family
i was scared that gina would feel nervous at school,school
i stew and stew until im feeling pretty rotten about most things in my life,food
im a beginner when it comes to carving but im feeling determined to master it,work
i always knew what i wanted to do with my life even though that knowledge has changed but now i feel frightened just imagining life without the comfort of school,school
i often end up going home feeling somewhat empty annoyed or upset whenever i see these types of friends i continue on hoping its just a phase or that its just me and that it will pass,friends
im feeling like a grouchy sister,family
i feel like if i am ok then that means i trust god,god
i can wake up in the morning and after nap without feeling groggy,sleep
ive been feeling pretty mellow lately aside from stressing at work from time to time but thats work for you,work
ive been thinking a lot lately about how the presence of the lord is where i am made beautiful regardless of how i feel im no stranger to feeling ugly,god
im still feeling very sleep deprived,sleep
i eat and feeling exhausted face glazed over intestinal bloating overwhelm i wish i could find that line,food
im feeling a little bit overwhelmed and if i do say to any of my friends about it they always ask if im ok and he didnt so i clearly dont mean much to him,friends
i feel like i have offended my goal of people today and along the way shared what makes cooking such a joy for me,food
i was feeling relaxed and quite comfortable at a faster pace then i was planning on running at,exercise
i feel like im a very lousy person because its not like i dont ever piss people off and its not like im the kindest most sensitive most generous friend to have,friends
i know that i should not be feeling hateful towards the cop cuz she was just doing her job,work
i feel remorseful for having been so flagrantly flamboyant as to eat,food
i finished the second last border second photo for my flower garden quilt i feel quite drained now,work
i love that number partially because i want to feel like i broke some sort of superstition and i truly feel that this year will be good for me,love
im feeling a little hesitant not to go to school,school
i feel like i ve devoted my time and life to get to know these friends and when the show stops and i enter reality i realize that the actors don t even be with you that i exist,friends
i feel less stressed i do more work with a clear head and i can focus,work
i feel almost guilty as other local photographers have been lean on work but i hope it begins to pickup for them as well,work
i get up as late as it feels acceptable to or with minimum time required to get ready for afternoon night shifts at work,work
i think she was feeling depressed when i said that to her so we went to eat a burger at this place called quick,food
im feeling really stressed at work too because theyre piling so much stuff for me to do and expect me to do all this creative stuff or decorate or make this,work
i come home to work i feel restless,work
i feel sad or despaired especially when i lost a best friend,friends
im feeling particularly indecisive about dinner ill ask him tacos or pizza,food
im feeling pretty discontent about work and then worrying about money and then worrying about the fact that im worrying about,work
i know have reacted understandably with guilt or embarrassment feeling out of touch with god ungrateful or even lost themselves as a result,god
i have talked to many friends about these dreams and feelings and it is uncertain what is causing them,friends
i laid sleeplessly in bed feeling devastated about an argument that i had earlier with one person from the group,sleep
i have now realized that after a relatively short space of time engaged in these recreational activities i start to feel that i am not making the most of our precious travel opportunity especially if we are in a hotel room,recreation
i get to school feeling beaten to death,school
i was very angry when i heard that my brother was beaten by his friends,friends
i have taken all of my meds for anxiety and sleep and then some and still feel anxious even though i am yawning like crazy,sleep
i feel so foolish to have let him break our friendship although were now good friends back,friends
i have a feeling i am going to be super nostalgic rambling all,recreation
i am feeling confident that i will be able to get to the back door before dinner time,food
i feel its important to open yourself to all things which includes the food,food
i get up and dress for work every morning feeling defeated because my clothes dont fit or i hate that ive gained weight,work
i feel satisfied that i went with my gut and nixed the cheese dip although ill probably uncover that and eat it later,food
i eat no one noticing if im feeling depressed,food
prolonged niggling of friend on a single theme which i considered of no consequence,friends
there is a girl at my work that doesnt take care much of her hygiene she comes always with her hair oiled,work
ive largely been getting plenty of rest and feeling horrible lol,sleep
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,friends
i look at the meager pile of food i purchased for the week i am feeling pretty apprehensive,food
i am sorry if that sound too harsh i feel like the greedy grandson staring down at the death bed asking for the family home but i think the flag is on the field is that the right metaphor,family
i feel for the innocent family members of the shooter is unbearable,family
i always feel that love is something much vaster and if we could explore it together perhaps i should then make my life into something worthwhile before it is too late,love
i work the same detatched feelings comes upon me its a vicious cycle,work
im also feeling less frightened at going back to see my family for christmas,family
i was feeling generous so i also caught a house fly to feed the black widow id caught in a mason jar so it could feast as well,food
i had someone ask me once why my life is so much about the business and my response is that i feel everything with life and work and my artistic practice is so intertwined and that one feeds the other,work
i remember in illinois and she still does this i was feeling kind of assaulted by her incessant emails about jesus and cute pictures of kittens and various health articles like she was firing them off as missiles and about of them per day hit me,health
i feel is just infatuation and not a compassionate love that s why letting you go in not hard,love
i feel like since i missed out on so much school my brain is craving knowledge of any form,school
i feel uncertain or unstable im going to do yoga or jog,exercise
i was very confused when i first went to school and there was a kid who was just mean and i didn t understand it and right into my teenage years where i would be mugged in the street and i wouldn t be able to do anything and i d come home feeling so disempowered and angry,school
i feel annoyed that focus is on romantic love,love
i kept feeling him sitting at the end of my bed taking up my sleeping space but in real life it was my cat so i think i accidentally kicked her a few times cause i was so mad that this weirdo lied,sleep
i worked in a harbour and emptied latrine containers from the back of the lorries,work
i feel aggravated and tense because i have a need for the air in my personal space to be free of allergens i have asthma,health
i feel you should also understand at this juncture that ive admired looked up to liked felt some sort of connection with this aunt since i was a fairly small child or at least for as long as i can remember any significant interaction with her,family
i feel rather dazed and tired and in great need of chocolate pudding,food
i hear about my friends hurt over a friendship or past experience and i feel so burdened,friends
i feel that valuable friendships were born that night,friends
i am left feeling empty and that is why i can t stop eating,food
i almost began to feel disgusted at eating something,food
i am feeling sentimental with so many senior friends almost ready to leave the rock but right now i am truly thankful to be one of the few and the proud rockhurst hawks,friends
i think some of my depression here comes from the fact that i m the type of person to share so much of myself with my friends and when there is little to nothing that i get in return it gets to me making me feel uncared for or unimportant or unloved,friends
i do feel like im being punished for one mistake again not necessarily by god but punishment none the less,god
i was in college and can remember feeling shocked by the question,school
i feel like im not read to go back to uni and im not even sure if i want to go back,school
i think that some people might feel that the sweet peppers could overpower the whole flavor of the cheesesteak but in my case i really didnt mind,food
im still paying for it now by having some flu like symptoms and feeling generally crappy but it was so worth it,health
i started feeling like a neurotic teenage girl worrying over whether i should binge and purge or just nibble on a corner of my burrito and say i was just too full to finish,food
im rly confused and feeling so troubled now alright i shall not think so much and just treat you as my best friend yeah,friends
i write this entry i should admit that im feeling a bit paranoid about the recipe title,food
i stay at home to take care of my daughter i end up feeling frustrated at least once and i feel guilty because i feel the frustration indicates i m a bad mother,family
i am thankful for my blue energy that i feel comfortable to work on repetitive work like generating reports for hours,work
i have a great family and i feel as if she has missed a great deal by not electing to meet them,family
i was feeling quite delicate i abstained from the pork in favour of the vegetarian option pasta with chunks of fried chicken,food
i did go out with a friend and we did end up doing sexual things and i do feel that emotional connection with him,friends
i love feeling them move even when they kick a vital organ,love
i feel the need to compensate with only the most perfect jacket as a topper to cover where my boobs do not fulfill their duties,work
i love you and cuddle you a lot and be very affectionate but sometimes he does little silly nice sweet things that show me how much he cares and that he too gets paranoid about me and he make me feel soooooooooooo giggly,love
i was going down the shaky elevator into the noisy engine room and for the first time it came to me to call it a job which caused me to feel a curious mix of strength relief and disappointment,work
i feel so ecstatic to spend quality time with friends online and off,friends
i feel very accepted in this family but the language and culture barriers are very unfamiliar to me,family
i am sick i want my husband and my kids to cuddle me while i am laying there feeling miserable,family
i cannot shake the feeling that there is so much more out there and not the kind of frantic doing that i have already mentioned and we are not doing the job,work
im looking good and feeling good other than this crappy cold im dealing with,health
i have friends who have done what they can to help me but right now i feel like everything has been in vain,friends
i think promises made between friends secrets kept and obligations met are the things that hold friendships together and make both parties feel valued and respected,friends
i walk out of the school cafeteria feeling humiliated i don t know what to do but one thing s for sure i have to get my own copy of chapter two of economics,school
i was glad to sleep in my own bed last night i feel melancholy and lazy today,sleep
i feel for having such a friendly friends especially koreans which now i can sit beside greet or even talk to them whenever i like,friends
i didn t feel determined to get my homework done or do anything,work
i needed to feel slutty gain some ego boost indulge myself in superficial attention and yes laughing at stupid girls just completes the night,recreation
i got in a fight with her because i feel that since i have emetophobia she should be supportive and take me to school every day and if not then not complain the days that i need her to take me because i missed the bus,school
i love the way you scatter words together like a witch doctor with bones into magical sentences that make my brain feel funny,love
i feel like an ungrateful shithead for saying this but i honestly feel like quitting my job right now,work
i now feel that i am only an unfortunate bystander caught up in this twister of family complications,family
i cried myself to sleep one night just because i feel ugly and fat,sleep
i know that he doesn t sleep well when i m there so technically it was my fault but i still didn t like feeling blamed,sleep
i feel humiliated and feel like i can t show my face there or on campus,school
i feel so lonely all the time because i have so many good friends but they all have one person which is more important than me and well they choose to hang out with them so im left alone always,friends
i know the feeling of radiant health that happened during that time,health
i examined my feelings decided that i had no idea whatsoever as to whether what i was doing was acceptable or not and decided to continue until i either had an opinion either way or there was a complaint,exercise
i just love the after feeling and somehow it gives u a more radiant complexion,love
i feel cranky and dull from the additional hour of sleep in the fall,sleep
i feel somewhat free because i usually see this person a lot and we have very many mutual friends,friends
i feel its the perfect time to analyse e and work out why this year had so many disappointments and who is worthy of walking away with the title of winner of e,work
i feel pissed off but maybe that is because i had some chocolate bars today which are not good for mood,food
i had been feeling a bit discouraged earlier today and then i saw something my mom had written to me and it instantly made me feel better,family
i told them about the food we normally eat and the food we eat that they feel disturbed,food
i feel absolutely no attraction for you and have no romantic feelings did you not understand,love
i feel like i dont belong and or accepted by any of the three families,family
i have been feeling very discontent at my job i don t feel any sort of challenge when i am at work,work
i feel greedy as if i have this great treasure inside of me and im stowing it away for myself to enjoy while i watch others suffer,recreation
i feel offended for my friends in the fine art world,friends
i also feel like a lousy friend a lousy and a lousy leader,friends
i feel my ability to read others mind may the rotten mango,food
i will have my true loves kiss i will feel like cinderella and i will meet prince charming i just wont marry him,love
i feel thoroughly depressed at my culinary and parenting skills whenever i read a href https food,food
i often leave work feeling pretty drained and not in the right kind of state for running,work
i feel the love a project for sweet olivia hello and welcome,love
i was flying back to guatemala the night before my birthday and was feeling pretty depressed about leaving my family coming back to my reality of poor guatemala and having to spend my birthday alone in a hostel near the airport,family
im behind or missing out it doesnt feel lack because i accepted lack is my best friend at this point,friends
i eat whenever i feel unhappy or have an emotional need,food
i feel like god and my friends have been so amazing in blessing me and im super thankful i can share this with others,friends
i also feel that i m teaching her a valuable skill how to get back to sleep at night which is a really good tool to have,sleep
i can definitely tell that my focus is strong in school because instead of feeling helpless and discouraged i simply kicked into this is what has to happen mode,school
i felt afraid when i smoked maryhuana for the first time in my life with a lot of friends in the middle of the street at day brake,friends
i know feel nostalgic about their time at university and going back to where they studied brings back the memories of life as it was there,school
i love today alot even thou my body is feeling dull,love
i am fiercely protective of my brother so when i overhear the arguments they have and how he runs after her i feel uselessly mad,family
i went out with my family and at the end i feels boring,family
i dont have a god to turn to doesnt mean i dont feel offended by that,god
i love that i get to dress up and feel glamorous once a year,love
i was hungry and not feeling quite satisfied with my shakes and bars and i did eat a few bites of grilled chicken,food
this emotion happened when i passed my primary school examination and was selected for secondary school,school
i went home and fell asleep in my bed waking up feeling horrible,sleep
i feel rejected by my former classmates and i feel disconnected from my friends in that either i alone among them understand the full context of lies that surround us or that i am the worst and accepting them,friends
i did eventually do this i feel that in my lack of knowledge and in his inability to understand my points the friendly debate was taken too far and it reached the point where it kept going in circles,friends
i feel a bit pathetic admitting that it is my chocolate habit which is out of control but it really is,food
i feel kind of shaken as if an old friend had died,friends
i love the feeling of being terrified heart pounding hair raising skin prickling you know generally being scared out of my wits,love
i continued to feel rotten upon our arrival to the extent that i shunned a saturday night with friends in shadwell for the sofa,friends
i was feeling bouncy this morning as my friend is canada tomorrow,friends
i for lunch but the sushi guy took twenty minutes on my order so i had to walk into human variation with sushi in hand and eat it there feeling obnoxious for the smell of fish,food
i dont know how people finish off their first year of university because i am struggling and feeling damn restless about it as well,school
i am feeling just a little bit resentful that rick is not content staying in a dead end job,work
i also feel like no one is supporting my writing and it is hard enough when strangers are not supporting it but when people you know don t then it hurts,work
i feel reassured knowing that she is span lang en gb style font family times new roman serif font size,family
i only do cakes when i feel like i can make it perfect or close to it,food
i get stressed from work but i feel more tortured when we have no work and rest,work
physical violence a friend wouldnt listen to me i repeatedly tried to warn him,friends
i feel it s important to have that last meal today tomorrow soon,food
i love the feeling of opening an assignment and being either surprised in a good way or impressed,love
i feel a little like a hot air balloon this weekend joyful thrilled flying high,recreation
i walked out of that lift feeling like my bad hair day was actually kind of awesome,exercise
i used to feel such strong attractions fall in love and have passionate love affairs,love
i never had that feeling because nobody hates me becaue i amn popular in school and the coolest teenager ever,school
i did confide some of these feelings with my friend and was surprised to find out that hey i am not the only one,friends
i love him for always making me feel better about myself and life in general,love
i have a feeling eno sings theyre in lockers theyre in schools rather than theyre rockers or the ludicrous pair of knockers,school
heard about someone telling lies about me to my best friend,friends
ive been feeling a little jaded about my work wardrobe lately i must say,work
i have spent the last hours procrastinating and eating not to mention browsing through my music trying to find something to listen to i hate feeling so indecisive,food
i cannot shut off my feelings or hormones and i know that i have to stay strong for mr t for my parents for my friends who think i m keeping it together,friends
i am feeling very blessed and grateful these days as we keep our friends in ny and nj in our thoughts and prayers,friends
i was feeling a bit resentful that i had just slaved away for years and my hard work seemed unrecognizable to others in my community and my society,work
i feel distraught and sad with those who made my friends unhappy,friends
i love that we have created a friendship and that i can just stop by to check in and always feel welcomed,love
